Hamming,Manhattan,Mix,v0,v1
2,4,2.4,-7.28245,-7.6517
2,5,2.5,-6.68783,-8.12346
3,6,3.6,-6.09321,-8.59522
2,7,2.7,-5.4986,-9.06698
3,8,3.8,-4.90398,-9.53874
3,5,3.5,-3.1662,-7.63339
2,4,2.4,-2.57158,-8.10514
2,3,2.3,-1.97696,-8.5769
2,4,2.4,-1.38234,-9.04866
3,5,3.5,-0.787725,-9.52042
3,6,3.6,-0.193107,-9.99218
2,4,2.4,-4.00383,-7.85372
2,3,2.3,-3.40921,-8.32548
1,2,1.2,-2.81459,-8.79724
1,3,1.3,-2.21998,-9.269
2,4,2.4,-1.62536,-9.74076
2,5,2.5,-1.03074,-10.2125
2,3,2.3,-4.84146,-8.07405
1,2,1.2,-4.24684,-8.54581
2,3,2.3,-3.65223,-9.01757
1,4,1.4,-3.05761,-9.48933
2,5,2.5,-2.46299,-9.96109
2,6,2.6,-1.86837,-10.4329
2,4,2.4,-5.67909,-8.29439
1,3,1.3,-5.08448,-8.76615
1,4,1.4,-4.48986,-9.23791
2,5,2.5,-3.89524,-9.70967
2,6,2.6,-3.30062,-10.1814
2,7,2.7,-2.706,-10.6532
3,5,3.5,-6.51673,-8.51472
2,4,2.4,-5.92211,-8.98648
2,5,2.5,-5.32749,-9.45824
2,6,2.6,-4.73287,-9.93
3,7,3.7,-4.13825,-10.4018
3,8,3.8,-3.54363,-10.8735
3,6,3.6,-7.35436,-8.73506
2,5,2.5,-6.75974,-9.20682
2,6,2.6,-6.16512,-9.67858
2,7,2.7,-5.5705,-10.1503
3,8,3.8,-4.97588,-10.6221
3,9,3.9,-4.38126,-11.0939
4,6,4.6,-2.64349,-9.1885
3,5,3.5,-2.04887,-9.66026
3,4,3.4,-1.45425,-10.132
3,5,3.5,-0.85963,-10.6038
3,6,3.6,-0.265011,-11.0755
4,7,4.7,0.329608,-11.5473
3,5,3.5,-3.48112,-9.40884
3,4,3.4,-2.8865,-9.8806
2,3,2.3,-2.29188,-10.3524
2,4,2.4,-1.69726,-10.8241
2,5,2.5,-1.10264,-11.2959
3,6,3.6,-0.508024,-11.7676
3,4,3.4,-4.31875,-9.62917
2,3,2.3,-3.72413,-10.1009
3,4,3.4,-3.12951,-10.5727
2,5,2.5,-2.53489,-11.0445
2,6,2.6,-1.94027,-11.5162
3,7,3.7,-1.34566,-11.988
3,5,3.5,-5.15638,-9.84951
2,4,2.4,-4.56176,-10.3213
2,5,2.5,-3.96714,-10.793
3,6,3.6,-3.37252,-11.2648
2,7,2.7,-2.7779,-11.7365
3,8,3.8,-2.18329,-12.2083
3,6,3.6,-5.99401,-10.0698
2,5,2.5,-5.39939,-10.5416
2,6,2.6,-4.80477,-11.0134
2,7,2.7,-4.21015,-11.4851
3,8,3.8,-3.61554,-11.9569
3,9,3.9,-3.02092,-12.4286
4,7,4.7,-6.83164,-10.2902
3,6,3.6,-6.23702,-10.7619
3,7,3.7,-5.6424,-11.2337
3,8,3.8,-5.04779,-11.7055
3,9,3.9,-4.45317,-12.1772
4,10,4.1,-3.85855,-12.649
4,14,4.14,-0.62387,-0.652881
4,13,4.13,-0.0292513,-1.12464
3,12,3.12,0.565367,-1.5964
3,11,3.11,1.15999,-2.06816
3,10,3.1,1.7546,-2.53992
3,9,3.9,2.34922,-3.01168
4,13,4.13,-1.4615,-0.873216
4,12,4.12,-0.866883,-1.34498
3,11,3.11,-0.272264,-1.81674
3,10,3.1,0.322355,-2.2885
3,9,3.9,0.916973,-2.76026
3,8,3.8,1.51159,-3.23202
3,12,3.12,-2.29913,-1.09355
3,11,3.11,-1.70451,-1.56531
3,10,3.1,-1.1099,-2.03707
2,9,2.9,-0.515277,-2.50883
2,8,2.8,0.079342,-2.98059
2,7,2.7,0.673961,-3.45235
3,11,3.11,-3.13676,-1.31389
3,10,3.1,-2.54215,-1.78565
2,9,2.9,-1.94753,-2.25741
3,8,3.8,-1.35291,-2.72917
2,7,2.7,-0.758289,-3.20092
2,6,2.6,-0.163671,-3.67268
3,10,3.1,-3.9744,-1.53422
3,9,3.9,-3.37978,-2.00598
2,8,2.8,-2.78516,-2.47774
2,7,2.7,-2.19054,-2.9495
3,6,3.6,-1.59592,-3.42126
2,5,2.5,-1.0013,-3.89302
3,9,3.9,-4.81203,-1.75456
3,8,3.8,-4.21741,-2.22632
2,7,2.7,-3.62279,-2.69807
2,6,2.6,-3.02817,-3.16983
2,5,2.5,-2.43355,-3.64159
3,6,3.6,-1.83893,-4.11335
4,13,4.13,-0.101156,-2.208
4,12,4.12,0.493463,-2.67976
3,11,3.11,1.08808,-3.15152
3,10,3.1,1.6827,-3.62328
3,9,3.9,2.27732,-4.09504
3,8,3.8,2.87194,-4.5668
4,12,4.12,-0.938787,-2.42834
4,11,4.11,-0.344168,-2.9001
3,10,3.1,0.25045,-3.37186
3,9,3.9,0.845069,-3.84362
3,8,3.8,1.43969,-4.31537
3,7,3.7,2.03431,-4.78713
3,11,3.11,-1.77642,-2.64867
3,10,3.1,-1.1818,-3.12043
3,9,3.9,-0.587181,-3.59219
2,8,2.8,0.00743757,-4.06395
2,7,2.7,0.602056,-4.53571
2,6,2.6,1.19667,-5.00747
3,10,3.1,-2.61405,-2.86901
3,9,3.9,-2.01943,-3.34077
2,8,2.8,-1.42481,-3.81252
3,7,3.7,-0.830194,-4.28428
2,6,2.6,-0.235575,-4.75604
2,5,2.5,0.359044,-5.2278
3,9,3.9,-3.45168,-3.08934
3,8,3.8,-2.85706,-3.5611
2,7,2.7,-2.26244,-4.03286
2,6,2.6,-1.66783,-4.50462
3,5,3.5,-1.07321,-4.97638
2,4,2.4,-0.478588,-5.44814
3,8,3.8,-4.28931,-3.30967
3,7,3.7,-3.69469,-3.78143
2,6,2.6,-3.10007,-4.25319
2,5,2.5,-2.50546,-4.72495
2,4,2.4,-1.91084,-5.19671
3,5,3.5,-1.31622,-5.66847
3,12,3.12,0.421559,-3.76312
3,11,3.11,1.01618,-4.23488
3,10,3.1,1.6108,-4.70664
2,9,2.9,2.20541,-5.1784
2,8,2.8,2.80003,-5.65016
2,7,2.7,3.39465,-6.12192
3,11,3.11,-0.416073,-3.98346
3,10,3.1,0.178546,-4.45521
3,9,3.9,0.773164,-4.92697
2,8,2.8,1.36778,-5.39873
2,7,2.7,1.9624,-5.87049
2,6,2.6,2.55702,-6.34225
3,10,3.1,-1.2537,-4.20379
3,9,3.9,-0.659085,-4.67555
3,8,3.8,-0.0644668,-5.14731
2,7,2.7,0.530152,-5.61907
2,6,2.6,1.12477,-6.09083
2,5,2.5,1.71939,-6.56259
2,9,2.9,-2.09134,-4.42412
2,8,2.8,-1.49672,-4.89588
2,7,2.7,-0.902098,-5.36764
2,6,2.6,-0.307479,-5.8394
1,5,1.5,0.287139,-6.31116
1,4,1.4,0.881758,-6.78292
2,8,2.8,-2.92897,-4.64446
2,7,2.7,-2.33435,-5.11622
2,6,2.6,-1.73973,-5.58798
1,5,1.5,-1.14511,-6.05974
2,4,2.4,-0.550492,-6.5315
1,3,1.3,0.0441265,-7.00326
2,7,2.7,-3.7666,-4.86479
2,6,2.6,-3.17198,-5.33655
2,5,2.5,-2.57736,-5.80831
1,4,1.4,-1.98274,-6.28007
1,3,1.3,-1.38812,-6.75183
2,4,2.4,-0.793505,-7.22359
3,11,3.11,0.944273,-5.31824
3,10,3.1,1.53889,-5.79
2,9,2.9,2.13351,-6.26176
3,8,3.8,2.72813,-6.73352
2,7,2.7,3.32275,-7.20528
2,6,2.6,3.91737,-7.67704
3,10,3.1,0.106641,-5.53857
3,9,3.9,0.70126,-6.01033
2,8,2.8,1.29588,-6.48209
3,7,3.7,1.8905,-6.95385
2,6,2.6,2.48512,-7.42561
2,5,2.5,3.07973,-7.89737
2,9,2.9,-0.73099,-5.75891
2,8,2.8,-0.136371,-6.23067
2,7,2.7,0.458247,-6.70243
2,6,2.6,1.05287,-7.17419
1,5,1.5,1.64748,-7.64595
1,4,1.4,2.2421,-8.11771
3,8,3.8,-1.56862,-5.97924
3,7,3.7,-0.974003,-6.451
2,6,2.6,-0.379384,-6.92276
3,5,3.5,0.215235,-7.39452
2,4,2.4,0.809853,-7.86628
2,3,2.3,1.40447,-8.33804
2,7,2.7,-2.40625,-6.19958
2,6,2.6,-1.81163,-6.67134
1,5,1.5,-1.21702,-7.1431
2,4,2.4,-0.622397,-7.61486
2,3,2.3,-0.0277779,-8.08662
1,2,1.2,0.566841,-8.55838
2,6,2.6,-3.24388,-6.41991
2,5,2.5,-2.64927,-6.89167
1,4,1.4,-2.05465,-7.36343
2,3,2.3,-1.46003,-7.83519
1,2,1.2,-0.865409,-8.30695
2,3,2.3,-0.270791,-8.77871
3,10,3.1,1.46699,-6.87336
3,9,3.9,2.06161,-7.34512
2,8,2.8,2.65622,-7.81688
2,7,2.7,3.25084,-8.28864
3,6,3.6,3.84546,-8.7604
2,5,2.5,4.44008,-9.23216
3,9,3.9,0.629356,-7.09369
3,8,3.8,1.22397,-7.56545
2,7,2.7,1.81859,-8.03721
2,6,2.6,2.41321,-8.50897
3,5,3.5,3.00783,-8.98073
2,4,2.4,3.60245,-9.45249
2,8,2.8,-0.208276,-7.31403
2,7,2.7,0.386343,-7.78579
2,6,2.6,0.980962,-8.25755
1,5,1.5,1.57558,-8.72931
2,4,2.4,2.1702,-9.20107
1,3,1.3,2.76482,-9.67283
2,7,2.7,-1.04591,-7.53436
2,6,2.6,-0.451288,-8.00612
1,5,1.5,0.14333,-8.47788
2,4,2.4,0.737949,-8.94964
2,3,2.3,1.33257,-9.4214
1,2,1.2,1.92719,-9.89316
3,6,3.6,-1.88354,-7.7547
3,5,3.5,-1.28892,-8.22646
2,4,2.4,-0.694301,-8.69822
2,3,2.3,-0.0996823,-9.16998
3,4,3.4,0.494936,-9.64174
2,3,2.3,1.08955,-10.1135
2,5,2.5,-2.72117,-7.97503
2,4,2.4,-2.12655,-8.44679
1,3,1.3,-1.53193,-8.91855
1,2,1.2,-0.937314,-9.39031
2,3,2.3,-0.342695,-9.86207
2,4,2.4,0.251924,-10.3338
3,9,3.9,1.9897,-8.42848
3,8,3.8,2.58432,-8.90024
2,7,2.7,3.17894,-9.372
2,6,2.6,3.77356,-9.84376
2,5,2.5,4.36818,-10.3155
3,6,3.6,4.96279,-10.7873
3,8,3.8,1.15207,-8.64881
3,7,3.7,1.74669,-9.12057
2,6,2.6,2.34131,-9.59233
2,5,2.5,2.93593,-10.0641
2,4,2.4,3.53054,-10.5359
3,5,3.5,4.12516,-11.0076
2,7,2.7,0.314439,-8.86915
2,6,2.6,0.909057,-9.34091
2,5,2.5,1.50368,-9.81267
1,4,1.4,2.09829,-10.2844
1,3,1.3,2.69291,-10.7562
2,4,2.4,3.28753,-11.2279
2,6,2.6,-0.523193,-9.08948
2,5,2.5,0.071426,-9.56124
1,4,1.4,0.666045,-10.033
2,3,2.3,1.26066,-10.5048
1,2,1.2,1.85528,-10.9765
2,3,2.3,2.4499,-11.4483
2,5,2.5,-1.36082,-9.30982
2,4,2.4,-0.766205,-9.78158
1,3,1.3,-0.171587,-10.2533
1,2,1.2,0.423032,-10.7251
2,3,2.3,1.01765,-11.1969
2,4,2.4,1.61227,-11.6686
3,6,3.6,-2.19846,-9.53015
3,5,3.5,-1.60384,-10.0019
2,4,2.4,-1.00922,-10.4737
2,3,2.3,-0.414599,-10.9454
2,4,2.4,0.180019,-11.4172
3,5,3.5,0.774638,-11.889
4,13,4.13,-0.543209,-0.388032
4,12,4.12,0.0514097,-0.859792
3,11,3.11,0.646028,-1.33155
3,10,3.1,1.24065,-1.80331
3,9,3.9,1.83527,-2.27507
3,8,3.8,2.42988,-2.74683
4,12,4.12,-1.38084,-0.608367
4,11,4.11,-0.786222,-1.08013
3,10,3.1,-0.191603,-1.55189
3,9,3.9,0.403016,-2.02365
3,8,3.8,0.997634,-2.49541
3,7,3.7,1.59225,-2.96717
3,11,3.11,-2.21847,-0.828701
3,10,3.1,-1.62385,-1.30046
3,9,3.9,-1.02923,-1.77222
2,8,2.8,-0.434616,-2.24398
2,7,2.7,0.160003,-2.71574
2,6,2.6,0.754622,-3.1875
3,10,3.1,-3.0561,-1.04904
3,9,3.9,-2.46148,-1.5208
2,8,2.8,-1.86687,-1.99256
3,7,3.7,-1.27225,-2.46432
2,6,2.6,-0.677628,-2.93608
2,5,2.5,-0.0830097,-3.40784
3,9,3.9,-3.89373,-1.26937
3,8,3.8,-3.29912,-1.74113
2,7,2.7,-2.7045,-2.21289
2,6,2.6,-2.10988,-2.68465
3,5,3.5,-1.51526,-3.15641
2,4,2.4,-0.920641,-3.62817
3,8,3.8,-4.73137,-1.48971
3,7,3.7,-4.13675,-1.96147
2,6,2.6,-3.54213,-2.43323
2,5,2.5,-2.94751,-2.90499
2,4,2.4,-2.35289,-3.37675
3,5,3.5,-1.75827,-3.8485
4,12,4.12,-0.0204947,-1.94315
4,11,4.11,0.574124,-2.41491
3,10,3.1,1.16874,-2.88667
3,9,3.9,1.76336,-3.35843
3,8,3.8,2.35798,-3.83019
3,7,3.7,2.9526,-4.30195
4,11,4.11,-0.858126,-2.16349
4,10,4.1,-0.263507,-2.63525
3,9,3.9,0.331111,-3.10701
3,8,3.8,0.92573,-3.57877
3,7,3.7,1.52035,-4.05053
3,6,3.6,2.11497,-4.52229
3,10,3.1,-1.69576,-2.38382
3,9,3.9,-1.10114,-2.85558
3,8,3.8,-0.50652,-3.32734
2,7,2.7,0.0880986,-3.7991
2,6,2.6,0.682717,-4.27086
2,5,2.5,1.27734,-4.74262
3,9,3.9,-2.53339,-2.60416
3,8,3.8,-1.93877,-3.07592
2,7,2.7,-1.34415,-3.54768
3,6,3.6,-0.749533,-4.01944
2,5,2.5,-0.154914,-4.4912
2,4,2.4,0.439705,-4.96295
3,8,3.8,-3.37102,-2.82449
3,7,3.7,-2.7764,-3.29625
2,6,2.6,-2.18178,-3.76801
2,5,2.5,-1.58716,-4.23977
3,4,3.4,-0.992545,-4.71153
2,3,2.3,-0.397927,-5.18329
3,7,3.7,-4.20865,-3.04483
3,6,3.6,-3.61403,-3.51659
2,5,2.5,-3.01941,-3.98835
2,4,2.4,-2.4248,-4.4601
2,3,2.3,-1.83018,-4.93186
3,4,3.4,-1.23556,-5.40362
3,11,3.11,0.50222,-3.49827
3,10,3.1,1.09684,-3.97003
3,9,3.9,1.69146,-4.44179
2,8,2.8,2.28608,-4.91355
2,7,2.7,2.88069,-5.38531
2,6,2.6,3.47531,-5.85707
3,10,3.1,-0.335412,-3.71861
3,9,3.9,0.259207,-4.19037
3,8,3.8,0.853826,-4.66213
2,7,2.7,1.44844,-5.13389
2,6,2.6,2.04306,-5.60565
2,5,2.5,2.63768,-6.0774
3,9,3.9,-1.17304,-3.93894
3,8,3.8,-0.578424,-4.4107
3,7,3.7,0.0161942,-4.88246
2,6,2.6,0.610813,-5.35422
2,5,2.5,1.20543,-5.82598
2,4,2.4,1.80005,-6.29774
2,8,2.8,-2.01067,-4.15928
2,7,2.7,-1.41606,-4.63104
2,6,2.6,-0.821437,-5.1028
2,5,2.5,-0.226818,-5.57455
1,4,1.4,0.3678,-6.04631
1,3,1.3,0.962419,-6.51807
2,7,2.7,-2.84831,-4.37961
2,6,2.6,-2.25369,-4.85137
2,5,2.5,-1.65907,-5.32313
1,4,1.4,-1.06445,-5.79489
2,3,2.3,-0.469831,-6.26665
1,2,1.2,0.124787,-6.73841
2,6,2.6,-3.68594,-4.59994
2,5,2.5,-3.09132,-5.0717
2,4,2.4,-2.4967,-5.54346
1,3,1.3,-1.90208,-6.01522
1,2,1.2,-1.30746,-6.48698
2,3,2.3,-0.712844,-6.95874
3,10,3.1,1.02493,-5.05339
3,9,3.9,1.61955,-5.52515
2,8,2.8,2.21417,-5.99691
3,7,3.7,2.80879,-6.46867
2,6,2.6,3.40341,-6.94043
2,5,2.5,3.99803,-7.41219
3,9,3.9,0.187302,-5.27373
3,8,3.8,0.781921,-5.74549
2,7,2.7,1.37654,-6.21725
3,6,3.6,1.97116,-6.689
2,5,2.5,2.56578,-7.16076
2,4,2.4,3.1604,-7.63252
2,8,2.8,-0.650329,-5.49406
2,7,2.7,-0.0557102,-5.96582
2,6,2.6,0.538908,-6.43758
2,5,2.5,1.13353,-6.90934
1,4,1.4,1.72815,-7.3811
1,3,1.3,2.32276,-7.85286
3,7,3.7,-1.48796,-5.71439
3,6,3.6,-0.893341,-6.18615
2,5,2.5,-0.298723,-6.65791
3,4,3.4,0.295896,-7.12967
2,3,2.3,0.890514,-7.60143
2,2,2.2,1.48513,-8.07319
2,6,2.6,-2.32559,-5.93473
2,5,2.5,-1.73097,-6.40649
1,4,1.4,-1.13635,-6.87825
2,3,2.3,-0.541736,-7.35001
2,2,2.2,0.0528831,-7.82177
1,1,1.1,0.647502,-8.29353
2,5,2.5,-3.16322,-6.15506
2,4,2.4,-2.5686,-6.62682
1,3,1.3,-1.97399,-7.09858
2,2,2.2,-1.37937,-7.57034
1,1,1.1,-0.784748,-8.0421
2,2,2.2,-0.19013,-8.51386
3,9,3.9,1.54765,-6.60851
3,8,3.8,2.14227,-7.08027
2,7,2.7,2.73689,-7.55203
2,6,2.6,3.3315,-8.02379
3,5,3.5,3.92612,-8.49555
2,4,2.4,4.52074,-8.96731
3,8,3.8,0.710017,-6.82884
3,7,3.7,1.30464,-7.3006
2,6,2.6,1.89925,-7.77236
2,5,2.5,2.49387,-8.24412
3,4,3.4,3.08849,-8.71588
2,3,2.3,3.68311,-9.18764
2,7,2.7,-0.127615,-7.04918
2,6,2.6,0.467004,-7.52094
2,5,2.5,1.06162,-7.9927
1,4,1.4,1.65624,-8.46446
2,3,2.3,2.25086,-8.93622
1,2,1.2,2.84548,-9.40798
2,6,2.6,-0.965246,-7.26951
2,5,2.5,-0.370627,-7.74127
1,4,1.4,0.223991,-8.21303
2,3,2.3,0.81861,-8.68479
2,2,2.2,1.41323,-9.15655
1,1,1.1,2.00785,-9.62831
3,5,3.5,-1.80288,-7.48985
3,4,3.4,-1.20826,-7.96161
2,3,2.3,-0.61364,-8.43337
2,2,2.2,-0.0190213,-8.90513
3,3,3.3,0.575597,-9.37689
2,2,2.2,1.17022,-9.84865
2,4,2.4,-2.64051,-7.71018
2,3,2.3,-2.04589,-8.18194
1,2,1.2,-1.45127,-8.6537
1,1,1.1,-0.856653,-9.12546
2,2,2.2,-0.262034,-9.59722
2,3,2.3,0.332585,-10.069
3,8,3.8,2.07036,-8.16363
3,7,3.7,2.66498,-8.63539
2,6,2.6,3.2596,-9.10715
2,5,2.5,3.85422,-9.57891
2,4,2.4,4.44884,-10.0507
3,5,3.5,5.04346,-10.5224
3,7,3.7,1.23273,-8.38396
3,6,3.6,1.82735,-8.85572
2,5,2.5,2.42197,-9.32748
2,4,2.4,3.01659,-9.79924
2,3,2.3,3.61121,-10.271
3,4,3.4,4.20582,-10.7428
2,6,2.6,0.3951,-8.6043
2,5,2.5,0.989718,-9.07606
2,4,2.4,1.58434,-9.54782
1,3,1.3,2.17896,-10.0196
1,2,1.2,2.77357,-10.4913
2,3,2.3,3.36819,-10.9631
2,5,2.5,-0.442532,-8.82463
2,4,2.4,0.152087,-9.29639
1,3,1.3,0.746706,-9.76815
2,2,2.2,1.34132,-10.2399
1,1,1.1,1.93594,-10.7117
2,2,2.2,2.53056,-11.1834
2,4,2.4,-1.28016,-9.04497
2,3,2.3,-0.685544,-9.51673
1,2,1.2,-0.0909257,-9.98849
1,1,1.1,0.503693,-10.4602
2,2,2.2,1.09831,-10.932
2,3,2.3,1.69293,-11.4038
3,5,3.5,-2.11779,-9.2653
3,4,3.4,-1.52318,-9.73706
2,3,2.3,-0.928557,-10.2088
2,2,2.2,-0.333938,-10.6806
2,3,2.3,0.26068,-11.1523
3,4,3.4,0.855299,-11.6241
3,12,3.12,-0.462548,-0.123182
3,11,3.11,0.132071,-0.594942
3,10,3.1,0.726689,-1.0667
2,9,2.9,1.32131,-1.53846
2,8,2.8,1.91593,-2.01022
2,7,2.7,2.51055,-2.48198
3,11,3.11,-1.30018,-0.343517
3,10,3.1,-0.705561,-0.815277
3,9,3.9,-0.110942,-1.28704
2,8,2.8,0.483677,-1.7588
2,7,2.7,1.0783,-2.23056
2,6,2.6,1.67291,-2.70232
3,10,3.1,-2.13781,-0.563852
3,9,3.9,-1.54319,-1.03561
3,8,3.8,-0.948573,-1.50737
2,7,2.7,-0.353955,-1.97913
2,6,2.6,0.240664,-2.45089
2,5,2.5,0.835283,-2.92265
2,9,2.9,-2.97544,-0.784187
2,8,2.8,-2.38082,-1.25595
2,7,2.7,-1.7862,-1.72771
2,6,2.6,-1.19159,-2.19947
1,5,1.5,-0.596967,-2.67123
1,4,1.4,-0.0023487,-3.14299
2,8,2.8,-3.81307,-1.00452
2,7,2.7,-3.21845,-1.47628
2,6,2.6,-2.62384,-1.94804
1,5,1.5,-2.02922,-2.4198
2,4,2.4,-1.4346,-2.89156
1,3,1.3,-0.83998,-3.36332
2,7,2.7,-4.6507,-1.22486
2,6,2.6,-4.05609,-1.69662
2,5,2.5,-3.46147,-2.16838
1,4,1.4,-2.86685,-2.64014
1,3,1.3,-2.27223,-3.1119
2,4,2.4,-1.67761,-3.58366
3,11,3.11,0.0601663,-1.6783
3,10,3.1,0.654785,-2.15006
3,9,3.9,1.2494,-2.62182
2,8,2.8,1.84402,-3.09358
2,7,2.7,2.43864,-3.56534
2,6,2.6,3.03326,-4.0371
3,10,3.1,-0.777465,-1.89864
3,9,3.9,-0.182846,-2.3704
3,8,3.8,0.411772,-2.84216
2,7,2.7,1.00639,-3.31392
2,6,2.6,1.60101,-3.78568
2,5,2.5,2.19563,-4.25744
3,9,3.9,-1.6151,-2.11897
3,8,3.8,-1.02048,-2.59073
3,7,3.7,-0.425859,-3.06249
2,6,2.6,0.16876,-3.53425
2,5,2.5,0.763378,-4.00601
2,4,2.4,1.358,-4.47777
2,8,2.8,-2.45273,-2.33931
2,7,2.7,-1.85811,-2.81107
2,6,2.6,-1.26349,-3.28283
2,5,2.5,-0.668872,-3.75459
1,4,1.4,-0.0742531,-4.22635
1,3,1.3,0.520366,-4.69811
2,7,2.7,-3.29036,-2.55964
2,6,2.6,-2.69574,-3.0314
2,5,2.5,-2.10112,-3.50316
1,4,1.4,-1.5065,-3.97492
2,3,2.3,-0.911884,-4.44668
1,2,1.2,-0.317266,-4.91844
2,6,2.6,-4.12799,-2.77998
2,5,2.5,-3.53337,-3.25174
2,4,2.4,-2.93875,-3.7235
1,3,1.3,-2.34413,-4.19526
1,2,1.2,-1.74952,-4.66702
2,3,2.3,-1.1549,-5.13878
3,10,3.1,0.582881,-3.23342
3,9,3.9,1.1775,-3.70518
3,8,3.8,1.77212,-4.17694
2,7,2.7,2.36674,-4.6487
2,6,2.6,2.96136,-5.12046
2,5,2.5,3.55597,-5.59222
3,9,3.9,-0.254751,-3.45376
3,8,3.8,0.339868,-3.92552
3,7,3.7,0.934487,-4.39728
2,6,2.6,1.52911,-4.86904
2,5,2.5,2.12372,-5.3408
2,4,2.4,2.71834,-5.81256
3,8,3.8,-1.09238,-3.67409
3,7,3.7,-0.497763,-4.14585
3,6,3.6,0.0968552,-4.61761
2,5,2.5,0.691474,-5.08937
2,4,2.4,1.28609,-5.56113
2,3,2.3,1.88071,-6.03289
2,7,2.7,-1.93001,-3.89443
2,6,2.6,-1.33539,-4.36619
2,5,2.5,-0.740776,-4.83795
2,4,2.4,-0.146157,-5.30971
1,3,1.3,0.448461,-5.78147
1,2,1.2,1.04308,-6.25323
2,6,2.6,-2.76764,-4.11476
2,5,2.5,-2.17303,-4.58652
2,4,2.4,-1.57841,-5.05828
1,3,1.3,-0.983789,-5.53004
2,2,2.2,-0.38917,-6.0018
1,1,1.1,0.205448,-6.47356
2,5,2.5,-3.60528,-4.3351
2,4,2.4,-3.01066,-4.80686
2,3,2.3,-2.41604,-5.27862
1,2,1.2,-1.82142,-5.75038
1,1,1.1,-1.2268,-6.22213
2,2,2.2,-0.632183,-6.69389
2,9,2.9,1.10559,-4.78854
2,8,2.8,1.70021,-5.2603
2,7,2.7,2.29483,-5.73206
2,6,2.6,2.88945,-6.20382
1,5,1.5,3.48407,-6.67558
1,4,1.4,4.07869,-7.14734
2,8,2.8,0.267964,-5.00888
2,7,2.7,0.862582,-5.48064
2,6,2.6,1.4572,-5.9524
2,5,2.5,2.05182,-6.42416
1,4,1.4,2.64644,-6.89592
1,3,1.3,3.24106,-7.36768
2,7,2.7,-0.569668,-5.22921
2,6,2.6,0.0249508,-5.70097
2,5,2.5,0.619569,-6.17273
2,4,2.4,1.21419,-6.64449
1,3,1.3,1.80881,-7.11625
1,2,1.2,2.40343,-7.58801
2,6,2.6,-1.4073,-5.44955
2,5,2.5,-0.81268,-5.92131
2,4,2.4,-0.218062,-6.39307
2,3,2.3,0.376557,-6.86483
1,2,1.2,0.971175,-7.33658
1,1,1.1,1.56579,-7.80834
1,5,1.5,-2.24493,-5.66988
1,4,1.4,-1.65031,-6.14164
1,3,1.3,-1.05569,-6.6134
1,2,1.2,-0.461075,-7.08516
1,1,1.1,0.133544,-7.55692
0,0,0,0.728163,-8.02868
1,4,1.4,-3.08256,-5.89022
1,3,1.3,-2.48794,-6.36198
1,2,1.2,-1.89332,-6.83373
1,1,1.1,-1.29871,-7.30549
0,0,0,-0.704087,-7.77725
1,1,1.1,-0.109469,-8.24901
2,8,2.8,1.62831,-6.34366
2,7,2.7,2.22293,-6.81542
2,6,2.6,2.81755,-7.28718
1,5,1.5,3.41216,-7.75894
2,4,2.4,4.00678,-8.2307
1,3,1.3,4.6014,-8.70246
2,7,2.7,0.790678,-6.564
2,6,2.6,1.3853,-7.03576
2,5,2.5,1.97991,-7.50752
1,4,1.4,2.57453,-7.97928
2,3,2.3,3.16915,-8.45103
1,2,1.2,3.76377,-8.92279
2,6,2.6,-0.0469536,-6.78433
2,5,2.5,0.547665,-7.25609
2,4,2.4,1.14228,-7.72785
1,3,1.3,1.7369,-8.19961
2,2,2.2,2.33152,-8.67137
1,1,1.1,2.92614,-9.14313
1,5,1.5,-0.884585,-7.00467
1,4,1.4,-0.289966,-7.47643
1,3,1.3,0.304652,-7.94818
1,2,1.2,0.899271,-8.41994
1,1,1.1,1.49389,-8.8917
0,0,0,2.08851,-9.36346
2,4,2.4,-1.72222,-7.225
2,3,2.3,-1.1276,-7.69676
2,2,2.2,-0.532979,-8.16852
1,1,1.1,0.0616397,-8.64028
2,2,2.2,0.656258,-9.11204
1,1,1.1,1.25088,-9.5838
1,3,1.3,-2.55985,-7.44533
1,2,1.2,-1.96523,-7.91709
1,1,1.1,-1.37061,-8.38885
0,0,0,-0.775992,-8.86061
1,1,1.1,-0.181373,-9.33237
1,2,1.2,0.413246,-9.80413
2,7,2.7,2.15102,-7.89878
2,6,2.6,2.74564,-8.37054
2,5,2.5,3.34026,-8.8423
1,4,1.4,3.93488,-9.31406
1,3,1.3,4.5295,-9.78582
2,4,2.4,5.12412,-10.2576
2,6,2.6,1.31339,-8.11912
2,5,2.5,1.90801,-8.59087
2,4,2.4,2.50263,-9.06263
1,3,1.3,3.09725,-9.53439
1,2,1.2,3.69187,-10.0062
2,3,2.3,4.28649,-10.4779
2,5,2.5,0.475761,-8.33945
2,4,2.4,1.07038,-8.81121
2,3,2.3,1.665,-9.28297
1,2,1.2,2.25962,-9.75473
1,1,1.1,2.85424,-10.2265
2,2,2.2,3.44885,-10.6982
1,4,1.4,-0.361871,-8.55978
1,3,1.3,0.232748,-9.03154
1,2,1.2,0.827367,-9.5033
1,1,1.1,1.42199,-9.97506
0,0,0,2.0166,-10.4468
1,1,1.1,2.61122,-10.9186
1,3,1.3,-1.1995,-8.78012
1,2,1.2,-0.604883,-9.25188
1,1,1.1,-0.0102647,-9.72364
